	PMC6000839	PMC3800883	PMC2885310	PMC4311629	PMC3400371	PMC4897523	PMC3272870	PMC3313761	PMC3342123	PMC3427250	PMC4653418	PMC3279448	PMC6011374	PMC5812027	PMC2396486	PMC3915248	PMC3933411	PMC5240907	PMC4231606	PMC5539754	PMC5226708	PMC5524288	PMC3789799	PMC5546866	PMC5405375	PMC2722583	PMC1247630	PMC1474522	PMC2009866	PMC4428817	PMC5501061	PMC6022422	PMC1533075	PMC1626394	PMC2265032	PMC2516588	PMC2672462	PMC2874300	PMC2889879	PMC2898025	PMC2999828	PMC3205727	PMC3348565	PMC3373750	PMC3513049	PMC3679768	PMC3914197	PMC4122855	PMC4304064	PMC4352710	PMC4377896	PMC4500436	PMC4564405	PMC4653409	PMC4683322	PMC4859539	PMC4954778	PMC4992225	PMC5030620	PMC5143410	PMC5187359	PMC5273824	PMC5540678	PMC5685050	PMC6029118	PMC6033232	PMC6039335	PMC6054603	PMC6056931	PMC2722408	PMC2727050	PMC2913107	PMC3075531	PMC3169551	PMC3271033	PMC3424155	PMC3470091	PMC3659910	PMC3710985	PMC3828574	PMC4037583	PMC4275682	PMC4327187	PMC4380518	PMC4488777	PMC4715834	PMC4973215	PMC5340372	PMC5439533	PMC5658906	PMC5732505
103	NA	NA	NA	('NCBITaxon:40674', 0.5, 2)	NA	('UBERON:0000956', 0.0, 1)	('GO:0008152', 0.0, 1)	NA	('PR:000008820', 1.0, 1)	NA	NA	NA	NA	NA	('GO:0007618', 0.5, 2)	NA	NA	NA	NA	NA	NA	NA	('SO:0001117', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0051325', 0.0, 8)	('GO:0007420', 0.0, 2)	('CHEBI:35366', 0.0, 2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0002048', 1.0, 4)	NA	('CHEBI:2700', 0.0, 2)	NA	NA	NA	NA	NA	('PR:000045358', 0.5, 2)	NA	('UBERON:0002046', 1.0, 1)	NA	NA	NA	NA	NA	NA	('PR:000004555', 0.0, 1)	NA	('PR:000010977', 0.0, 1)	NA	NA	('UBERON:0000088', 0.0, 1)	NA	NA	NA	('GO:0042592', 0.0, 1)	NA	NA	NA	NA	NA	NA
104	NA	NA	NA	('NCBITaxon:s', 0.5, 2)	NA	('UBERON:0002037', 0.0, 1)	('GO:0030424', 0.0, 1)	NA	('PR:000008812', 1.0, 1)	NA	NA	NA	NA	NA	('GO:0005737', 0.5, 4)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0001013', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0033622', 0.0, 1)	('GO:0008152', 0.0, 2)	('CHEBI:73643', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0012101', 1.0, 1)	NA	('CHEBI:52392', 0.0, 1)	NA	NA	NA	NA	NA	('UBERON:0016551', 0.5, 10)	NA	('UBERON:0003222', 1.0, 1)	NA	NA	NA	NA	NA	NA	('SO:0001026', 0.0, 1)	NA	('PR:000009880', 0.0, 2)	NA	NA	('UBERON:0001296', 0.0, 1)	NA	NA	NA	('GO:0007612', 0.0, 1)	NA	NA	NA	NA	NA	NA
105	NA	NA	NA	('PR:000007481', 0.5, 2)	NA	('UBERON:0005401', 0.0, 1)	('GO:0030425', 0.0, 1)	NA	('PR:000001386', 1.0, 1)	NA	NA	NA	NA	NA	('PR:000022390', 0.5, 2)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000922', 0.0, 5)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0006629', 0.0, 1)	('GO:0065007', 0.0, 2)	('CHEBI:6784', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000377', 1.0, 1)	NA	('CHEBI:50904', 0.0, 2)	NA	NA	NA	NA	NA	('UBERON:0001401', 0.5, 2)	NA	('UBERON:0007015', 1.0, 1)	NA	NA	NA	NA	NA	NA	('UBERON:0001016', 0.0, 1)	NA	('PR:000001244', 0.0, 1)	NA	NA	('UBERON:0000062', 0.0, 1)	NA	NA	NA	('GO:0060041', 0.0, 1)	NA	NA	NA	NA	NA	NA
106	NA	NA	NA	('PR:000013100', 0.5, 2)	NA	('UBERON:0001754', 0.0, 1)	('GO:0042571', 0.0, 1)	NA	('PR:000011209', 1.0, 2)	NA	NA	NA	NA	NA	('PR:000007164', 0.5, 2)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0012101', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0007420', 0.0, 1)	('GO:0048208', 0.0, 1)	('CHEBI:35654', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0001977', 1.0, 1)	NA	('CHEBI:22215', 0.0, 1)	NA	NA	NA	NA	NA	('UBERON:0001477', 0.5, 2)	NA	('CHEBI:33290', 0.9259259259259259, 27)	NA	NA	NA	NA	NA	NA	('UBERON:0004288', 0.0, 2)	NA	('PR:000010220', 0.0, 1)	NA	NA	NA	NA	NA	NA	('GO:0042571', 0.0, 2)	NA	NA	NA	NA	NA	NA
107	NA	NA	NA	('PR:000010826', 0.5, 2)	NA	('UBERON:0001016', 0.0, 2)	('GO:0030849', 0.0, 1)	NA	('PR:000012522', 1.0, 1)	NA	NA	NA	NA	NA	('PR:000010147', 0.5, 2)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0003221', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0007613', 0.0, 1)	('GO:0002250', 0.0, 1)	('CHEBI:86926', 0.0, 2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000991', 1.0, 2)	NA	('CHEBI:73218', 0.0, 1)	NA	NA	NA	NA	NA	('UBERON:0001374', 0.5, 4)	NA	('GO:0007567', 0.8478260869565217, 46)	NA	NA	NA	NA	NA	NA	('UBERON:0000113', 0.0, 3)	NA	('SO:0000704', 0.0, 1)	NA	NA	NA	NA	NA	NA	('GO:0005622', 0.0, 2)	NA	NA	NA	NA	NA	NA
108	NA	NA	NA	('PR:000012582', 0.5, 2)	NA	('UBERON:0001017', 0.0, 1)	('NCBITaxon:10088', 0.0, 3)	NA	('PR:000016022', 1.0, 1)	NA	NA	NA	NA	NA	('UBERON:0001870', 0.5, 2)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0004535', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0016540', 0.0, 1)	('GO:0019814', 0.0, 1)	('CHEBI:77514', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000152', 1.0, 1)	NA	('CHEBI:21763', 0.0, 1)	NA	NA	NA	NA	NA	('UBERON:0002190', 0.5, 8)	NA	('GO:0007631', 0.7391304347826086, 23)	NA	NA	NA	NA	NA	NA	('UBERON:0001230', 0.0, 1)	NA	('UBERON:0001824', 0.0, 1)	NA	NA	NA	NA	NA	NA	('GO:0001669', 0.0, 2)	NA	NA	NA	NA	NA	NA
109	NA	NA	NA	('UBERON:0013623', 0.5, 2)	NA	('UBERON:0001049', 0.0, 1)	('NCBITaxon:9606', 0.0, 3)	NA	('PR:000014409', 1.0, 1)	NA	NA	NA	NA	NA	('UBERON:0000479', 0.5, 8)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000178', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0051696', 0.0, 1)	('GO:0071743', 0.0, 1)	('CHEBI:36347', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000966', 1.0, 1)	NA	('CHEBI:39048', 0.0, 1)	NA	NA	NA	NA	NA	('UBERON:0013691', 0.5, 2)	NA	('GO:0007565', 0.7065217391304348, 92)	NA	NA	NA	NA	NA	NA	('UBERON:0001103', 0.0, 4)	NA	('UBERON:0002405', 0.0, 5)	NA	NA	NA	NA	NA	NA	('GO:0031012', 0.0, 1)	NA	NA	NA	NA	NA	NA
110	NA	NA	NA	('UBERON:0012101', 0.5, 2)	NA	('UBERON:0006314', 0.0, 1)	('NCBITaxon:33208', 0.0, 1)	NA	('PR:000029266', 1.0, 1)	NA	NA	NA	NA	NA	('GO:0010467', 0.38461538461538464, 13)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000124', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0006260', 0.0, 1)	('GO:0042571', 0.0, 1)	('CHEBI:37527', 0.0, 3)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0003104', 1.0, 1)	NA	('CHEBI:51383', 0.0, 3)	NA	NA	NA	NA	NA	('UBERON:0000479', 0.5, 4)	NA	('CHEBI:27300', 0.6666666666666666, 6)	NA	NA	NA	NA	NA	NA	('UBERON:0001229', 0.0, 1)	NA	('UBERON:0007023', 0.0, 1)	NA	NA	NA	NA	NA	NA	('GO:0019814', 0.0, 1)	NA	NA	NA	NA	NA	NA
111	NA	NA	NA	('UBERON:2000442', 0.5, 2)	NA	('UBERON:0002396', 0.0, 1)	('NCBITaxon:136978', 0.0, 1)	NA	('PR:000006101', 1.0, 4)	NA	NA	NA	NA	NA	('NCBITaxon:9986', 0.38095238095238093, 21)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0006314', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0005886', 0.0, 1)	('NCBITaxon:13689', 0.0, 1)	('CHEBI:8193', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000978', 1.0, 1)	NA	('CHEBI:39015', 0.0, 1)	NA	NA	NA	NA	NA	('UBERON:0004082', 0.5, 4)	NA	('CHEBI:24859', 0.6666666666666666, 3)	NA	NA	NA	NA	NA	NA	('UBERON:0002107', 0.0, 1)	NA	('UBERON:0000922', 0.0, 1)	NA	NA	NA	NA	NA	NA	('NCBITaxon:9606', 0.0, 6)	NA	NA	NA	NA	NA	NA
112	NA	NA	NA	('UBERON:0001969', 0.5, 4)	NA	('UBERON:0001759', 0.0, 1)	('PR:000011156', 0.0, 1)	NA	('PR:000007416', 1.0, 1)	NA	NA	NA	NA	NA	('PR:000006770', 0.36363636363636365, 11)	NA	NA	NA	NA	NA	NA	NA	('UBERON:0002081', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('GO:0044425', 0.0, 1)	('NCBITaxon:9606', 0.0, 2)	('CHEBI:76606', 0.0, 1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	('UBERON:0000981', 1.0, 1)	NA	('CHEBI:36357', 0.0, 1)	NA	NA	NA	NA	NA	('UBERON:0001845', 0.5, 2)	NA	('GO:0016265', 0.6666666666666666, 3)	NA	NA	NA	NA	NA	NA	('UBERON:0001013', 0.0, 2)	NA	('UBERON:0001445', 0.0, 1)	NA	NA	NA	NA	NA	NA	('NCBITaxon:9986', 0.0, 1)	NA	NA	NA	NA	NA	NA
